Site065,Sibbaldia_sp,sample,cushion.open,Achillea_millefolium,Agoseris_aurantiaca,Anemone_occidentalis,Anenome_drummondii,Antennaria_alpina,Arabis_nuttalii,Artemisia_michauxiana,Astragalus_alpinus,Bupleurum_americanum,Carex_geyeri,Cerastium_arvense,Cirsium_scariosum,Claytonia_megarhiza,Cryptantha_celosioides,Danthonia_intermedia,Epilobium_angustifolium,Erigeron_compositus,Eriogonum_flavum,Eriophyllum_lanatum,Geum_triflorum,Linum_lewisii,Lomatium_sandbergii,Mertensia_longiflora,Minuartia_obtusiloba,Oxyria_digyna,Pedicularis_bracteosa,Pedicularis_parryi,Penstemon_fruticosa,Phacelia_lyallii,Phacelia_sericea,Plantago_eriopoda,Poa_alpina,Polygonum_viviparum,Potentilla_diversifolia,Saxifraga_occidentalis,Sedum_lanceolatum,Sedum_roseum,Senecio_canus,Silene_douglasii,Tiarella_trifoliata,Tofieldia_accidentalis
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,open,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,,
,,76,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,79,open,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,1,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,82,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,open,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,84,open,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,85,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,86,open,,,,,,,,,,,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87,open,,,,,,,,,,8,,,,,6,,,,,,,,,,,1,,,,,1,,,2,,,,1,,,
,,88,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
,,89,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90,open,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,open,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,
