Site011,Azorella_madreporica,sample,cushion.open,Adesmia_sp1,Adesmia_sp,Barneoudia_major,Bromus_setifolius,Calandrinia_affinis,Cerastium_arvense,Chaetanthera_euphrasioides,Chaetanthera_lycopodioides,Erigeron_andicola,Galium_gilliesii,Hordeum_comosum,Junellia_uniflora,Montiopsis_potentilloides,Nassauvia_lagascae,Nassauvia_pyramidalis,Nastanthus_agglomeratus,Olsynium_scirpoideum,Oxalis_compacta,Perezia_carthamoides,Phacelia_secunda,Pozoa_coriacea,Rytidosperma_pictum,Senecio_looseri,Taraxacum_officinale,Thlaspi_magellanicum,Trisetum_preslei,Viola_atropurpurea,Viola_philippii
,,43,open,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
,,44,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,47,open,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,open,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,7,,,,,,,,,,,,,,,,1,,,,,,,,2,,
,,53,open,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,
,,55,open,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,1,3,,,,,,,,,,,,,5,,,,,,,,,,
,,57,open,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,
,,58,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,open,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,66,open,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,67,open,,2,,,,,,,,,2,,,,,,,2,,,,,,,,,5,
,,68,open,1,,2,,,,,,,,,,,,,,,2,,,,,,,,,,
,,69,open,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,
,,70,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,3,,1,,,,,,,2,
,,72,open,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,74,open,,,1,,,,,,,,,,,,,,,,,13,,,,,,,1,
,,75,open,,,25,,,,,,,,1,,,,,,,,,24,,,,,,,,
,,76,open,,,3,,,,,,,,,,,,,,,1,,,,,,,,,3,
,,77,open,,,5,,,,,,,,,,,2,,,,,,,1,,,,,,4,
,,78,open,,,2,,,,,,,,,,,1,,,,,,,,,,,,2,,
,,79,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,80,open,5,1,15,,,,,,,,1,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,82,open,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,83,open,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,84,open,,,13,,,,,1,,,,,,,,,,,,,,,,,,,1,
,,85,open,9,,21,,,,,,,,,,,,,,,,,,,,,,,4,,
,,86,open,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,87,open,1,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
,,88,open,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,
,,89,open,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,90,open,,,,,,,,2,,,,,,2,,1,,,,,,,,,,,,2
,,91,open,2,,,,,,,,,,3,,,1,,,,,,,,,,,,,,
,,92,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,93,open,,4,11,,,,,2,,,,,,1,,,,,,,,,,,,,,
,,94,open,,,,,,,,4,,,,,,2,,,,3,,,2,,,,,,6,
,,95,open,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,96,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,97,open,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,98,open,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,99,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
