Site013,Laretia_acaulis,sample,cushion.open,Adesmia_sp2,Adesmia_sp3,Adesmia_sp4,Anarthrophyllum_gayanum,Barneoudia_major,Berberis_empetrifolia,Bromus_catharticus,Bromus_setifolius,Calandrinia_caespitosa,Chaetanthera_euphrasioides,Chaetanthera_pusilla,Chuquiraga_oppositifolia,Erigeron_andicola,Euphorbia_collina,Haplopappus_scrobiculatus,Hordeum_comosum,Montiopsis_gayana,Nassauvia_axillaris,Nassauvia_uniflora,Nastanthus_agglomeratus,Oxalis_squamata,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Polygala_salasiana,Quinchamalium_chilense,Rhodophiala_uniflora,Senecio_bustillosianus,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum
,,28,open,,,,,,,,,,,,,,,,,,,3,,,,,,1,,1,,,,,
,,29,open,,1,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,,
,,30,open,,3,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,1,,
,,32,open,,2,,,,,,,,,6,,,2,,2,,,3,,2,3,,,,1,,,,1,,
,,33,open,,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,1,,
,,34,open,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,,1,,
,,35,open,,,,,,,,,,,12,,,,,,,,1,,,,,,,,,,,,,
,,36,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,open,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
,,39,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,
,,40,open,,1,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,
,,41,open,,,,,,,,,,,,1,,,,,,,6,,,2,,,,,,,,,,
,,42,open,1,,2,,,,,,,,3,,,1,,,,,1,,,,,,,,,,,,,
,,43,open,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,1,,
,,46,open,1,,,,,,,,,,,,,,3,,,,3,,,1,,,,,,,,1,,
,,47,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,open,1,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,1,,
,,49,open,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,50,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,9,,,,1,,,,,,,,,,,,,,,,,
,,60,open,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
,,61,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,1,,,,,,,,,,,,,,,,1,,1,,,,,,2,,,2,,1,,
,,63,open,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,1,,
,,64,open,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
,,65,open,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
,,66,open,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,68,open,1,,,1,,,,,,3,,1,,,,,,,,,,,1,,,,,,,2,,
,,69,open,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,
,,71,open,2,,2,,,,,,,2,14,,,,,,,,1,,,,,,,,,2,,,,
,,72,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,73,open,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
,,74,open,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,76,open,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,
,,78,open,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,
,,79,open,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,1,,1,,
,,80,open,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,1,,
,,82,open,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
,,83,open,,3,,,,,,,,,5,,,1,,1,,,1,,1,,,,1,,,1,,1,,
,,84,open,,,1,,,,,,,,,,,,,,,,1,,,,,,2,,,2,,1,,
,,85,open,,,1,,,,,,,,6,,,1,,1,,,1,,,,,1,,,2,,,1,,
,,86,open,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,87,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,88,open,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,
,,89,open,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
,,90,open,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,open,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,
,,92,open,,2,,,,,,,,,6,,,2,,2,,,3,,2,3,,,,1,,,,1,,
,,93,open,1,2,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
,,94,open,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,
,,95,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,
,,96,open,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,97,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,98,open,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,99,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
,,100,open,,1,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,
