Site041,Raoulia_eximia,sample,cushion.open,Aciphylla_sp,Aciphylla_monroi,Anisotome_flexuosa,Anisotome_haastii,Brachyglottis_bellidioides,Brachyscome_sinclairii,Cardamine_bilobata,Celmisia_lyallii,Celmisia_spectabilis,Chianochloa_sp,Colobanthus_aciculatus,Dracophyllum_pronum,Dracophyllum_uniflorum,Elymus_rectisetus,Epilobium_pycnostachyium,Gaultheria_depressa,Gentiana_corymbifera,Geranium_sessiliflorum,Helichrysum_bellidioides,Hieracium_sp,Koeleria_sp,Leptinella_atrata,Leucopogon_frazeri,Lobelia_roughii,Luzula_rufa,Melicytus_alpinus,Ourisia_caespitosa,Poa_colensoi,Rumex_acetosella,Rytidosperma_setifolium,Schizeilema_trifoliatum,Viola_cunninghamii,Wahlenbergia_albomarginata
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,69,open,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,5,,,
,,70,open,,,,,,,,,,,,,,2,4,,,2,,,,,,,,,,,4,,,4,
,,71,open,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,2
,,72,open,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,
,,73,open,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,2,,
,,74,open,,,2,,,,,,,,,,,1,1,,,5,,,,,,,,,,,,4,,,
,,75,open,,,,,,,,,,1,5,,,,,,,3,,,,,,,,,,,,2,5,,3
,,76,open,,,6,,,,,,,,3,,,1,1,,,,,,,,10,,,,,,2,2,,,
,,77,open,,,,,,,,,,,4,,,,2,,,5,,,,,5,,,,,,3,4,,,
,,78,open,,,1,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,
,,79,open,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
,,80,open,,,,,,1,,,,,3,,,,,,,,,,,7,,,,,,,,4,,,3
,,81,open,,,8,,,,,,,2,2,,,,,,,,,,,,2,,,,,,,1,,,
,,82,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,open,,,,,,,,,1,,,,,2,,,,,,,1,5,,,3,,,,,3,,,
,,84,open,,,,,2,,,,1,,2,1,,,1,,,,,,,6,4,,,,,,,1,,,
,,85,open,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,86,open,,,,,,,,,2,,1,,,,,,,,,,1,,3,,1,,,,,5,,,1
,,87,open,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,4,1,,,
,,88,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,89,open,,,,,,,,,,,2,,,,1,,,4,,,,,,,2,,,,8,,2,,6
,,90,open,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,10,2,,,6
