site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Azorella madreporica",48,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,,,,,,,,1,,1,,,57
"Valle Nevado","Azorella madreporica",49,"open","","",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,2,,,,,1,,,,,,,,1,2,,,,57
"Valle Nevado","Azorella madreporica",50,"open","","",,,1,,,,,4,,,,9,,11,12,,,,,,,,23,,,5,1,1,,2,61,,1,,2,,,4,1,,1,4,,1,1,,,3,1,2,,2,,,1,,57
"Valle Nevado","Azorella madreporica",51,"open","","",,,,,,,,,,,,,,5,,,5,,,,,,,,,3,,,,,32,6,,1,,1,,,,,,,,,,,,,,,,3,,,,1,57
"Valle Nevado","Azorella madreporica",52,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",57,"open","","",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",58,"open","","",,,,,,,,1,5,2,,,,2,,,,,,,,,,1,,,,,,,66,7,5,,1,,,3,,,1,2,1,,,,,1,1,,,,,,,1,57
"Valle Nevado","Azorella madreporica",59,"open","","",,,,,,,3,,6,,,1,,4,,,,,,,,,,,,2,,,,,4,5,,,,,,,,,,,,,,,,,,,,2,,2,,,57
"Valle Nevado","Azorella madreporica",60,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,17,1,,,,1,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",61,"open","","",,,,,,,,,1,,,,,,9,,,,,,,,,,,,,,,,17,6,,,,,,,,,1,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",62,"open","","",,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",63,"open","","",,,,,,,,,2,,,,,3,,,,,,,,,,,,2,,,,,,3,,1,,,,,1,,,,,,,,1,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",64,"open","","",,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,11,8,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",69,"open","","",,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,1,,,,1,,,2,,1,1,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",70,"open","","",,,,,,,,,,,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",71,"open","","",,,,,,,,2,9,,,,,1,,1,,,,,,,,,,2,,,1,,1,6,,,1,,,2,1,1,1,2,,,,,,1,,,1,4,,,,1,57
"Valle Nevado","Azorella madreporica",72,"open","","",,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",73,"open","","",,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",74,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",75,"open","","",,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,1,12,6,,,,2,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",76,"open","","",,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,2,,,57
"Valle Nevado","Azorella madreporica",81,"open","","",1,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",82,"open","","",,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",83,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",84,"open","","",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",85,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",86,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",87,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",88,"open","","",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,45,1,,,,,,,,,2,1,,,,,,,1,,,2,,2,,,57
"Valle Nevado","Azorella madreporica",93,"open","","",1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",94,"open","","",,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",95,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",96,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,1,57
"Valle Nevado","Azorella madreporica",97,"open","","",,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",98,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,1,,1,,,57
