Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agoseris aurantiaca,Agoseris glauca,Antenaria lanata,Arenaria congesta,Arnica diversifolia,Carex bigelowii,Castilleja miniata,Cirsium etonii,Draba cana,Erigeron simplex,Erigeron tomentosa,Festuca arizonica,Ivesia gordoni,Minuartia macrantha,Poa alpina,Potentilla gracilis,Sedum debile,Senecio amplectum,Silene acaulis,Smelowskia calycina,Solidago multiradiata,Thalictrum fendleri,Thlaspi montanum,Trisetum spicatum,UNKleaf
95,"Piegan Pass 2010","Silene acaulis",33,"open",25,25,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",34,"open",25,25,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",35,"open",20,30,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",36,"open",55,30,,"",,,,,"",,"",,,1,,,,,1,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",37,"open",30,30,,"",,,,,"",,"",,,1,1,,3,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",38,"open",20,20,,"",,,,,"",,"",,,,1,,1,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",39,"open",35,20,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",40,"open",30,20,,"",2,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",41,"open",30,30,,"",,,,,"",,"",,,,1,,1,,,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",42,"open",45,40,,"",,,,,"",,"",,,,,,1,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",43,"open",40,15,1,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",44,"open",25,20,,"",1,,,1,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",45,"open",30,40,,"",,,,,"",,"",,,1,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",46,"open",30,50,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",47,"open",25,20,,"",,,,,"",,"",,1,2,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",48,"open",30,30,,"",,,,,"",,"",,,1,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",49,"open",30,10,,"",,,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",50,"open",15,20,,"",,,,,"",,"",,,,,,,,,"",,,2,,,,
95,"Piegan Pass 2010","Silene acaulis",51,"open",45,15,,"",,1,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",52,"open",35,30,,"",,,,,"",1,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",53,"open",25,15,,"",,,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",54,"open",35,10,,"",,,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",55,"open",20,30,,"",,,,,"",,"",,,,3,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",56,"open",35,40,,"1",,,,,"1",,"",,,,2,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",57,"open",15,30,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",58,"open",30,30,,"",,,,,"1",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",59,"open",35,40,,"",,,,,"1",,"",,,3,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",60,"open",20,30,,"",,,1,,"1",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",61,"open",20,25,,"1",,1,,,"1",,"",,,2,,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",62,"open",15,20,,"",,,,,"",,"",,,,2,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",63,"open",50,15,,"",,,,,"",,"",,,2,1,,,,,"",,,6,,,,
95,"Piegan Pass 2010","Silene acaulis",64,"open",15,30,,"",,,,,"",,"",,,,,,,,,"",,,1,,,,
95,"Piegan Pass 2010","Silene acaulis",65,"open",20,30,,"",,,,,"",,"",,,1,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",66,"open",20,50,,"",,,,,"",,"",,,3,,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",67,"open",20,30,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",68,"open",20,25,,"",,,1,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",69,"open",30,40,,"",,,,,"",,"",,,,,,2,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",70,"open",25,30,,"",,3,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",71,"open",20,30,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",72,"open",30,45,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",73,"open",80,25,1,"",,,,,"",,"",,1,,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",74,"open",35,40,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",75,"open",20,15,,"",,2,,,"",,"",,,,,,,,1,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",76,"open",35,20,,"",,,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",77,"open",25,40,,"",,,,,"",,"",,,,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",78,"open",25,40,,"",,,,,"",,"",,,,,,3,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",79,"open",20,40,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",80,"open",45,20,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
