site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis castellana,Agrostis truncatula,Armeria caespitosa,Avenella iberica,Euphrasia willkommii,Festuca curvifolia,Festuca iberica,Hieracium myriadenum,Jasione crispa,Jurinea humilis,Luzula hispanica,Minuartia recurva,Nardus stricta,Paronychia polygonifolia,Plantago alpina,Polytrichum juniperinum,Polytrichum piliferum,Sedum brevifolium,Sedum candollei,Silene ciliata,dataset code
"Cabezas de Hierro","Minuartia_recurva",46,"open",18,12.5,,1,,,,6,,1,,,,,,,,,,2,1,,56
"Cabezas de Hierro","Minuartia_recurva",56,"open",21,18,,,1,,,1,,1,,,,,,,,,,12,,,56
"Cabezas de Hierro","Minuartia_recurva",57,"open",17,16,,,1,,,2,,1,,,,,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",58,"open",18,16,,,,,,1,,1,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",70,"open",18,15,,1,,,,,,1,,,,,,,,,,2,1,,56
"Cabezas de Hierro","Minuartia_recurva",81,"open",26.5,23,,,1,,,,,1,,,,,,,,,,,4,,56
"Cabezas de Hierro","Minuartia_recurva",2,"cushion",20,15,10,3,,,,,,2,4,,,,,,,,,2,,1,56
"Cabezas de Hierro","Minuartia_recurva",78,"cushion",30,25,,,1,,,43,,2,2,,2,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",95,"cushion",27,15,,,,,,27,,3,2,,5,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",54,"open",25.5,22,,,,,,,,3,,,,,,,,,,4,,,56
"Cabezas de Hierro","Minuartia_recurva",61,"open",21,16,,,1,,,,,3,1,,,,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",66,"open",19,17.5,,,,,,,3,3,,,,1,,,,,,2,,,56
"Cabezas de Hierro","Minuartia_recurva",56,"cushion",21,18,,,1,,,17,,4,2,,4,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",60,"cushion",24,21.5,,,2,,,6,,4,,,,,,,,,,2,,,56
"Cabezas de Hierro","Minuartia_recurva",88,"cushion",16,14,,,,,11,2,9,4,1,,4,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",99,"cushion",20.5,14.5,,,1,,,13,,4,2,,1,,,,1,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",66,"cushion",19,17.5,,,1,,,16,,5,,,,,,,,,,2,,,56
"Cabezas de Hierro","Minuartia_recurva",71,"cushion",21,15,,,,,,19,,5,1,1,1,,,,,,,1,1,,56
"Cabezas de Hierro","Minuartia_recurva",61,"cushion",21,16,,,,,,2,,6,1,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",55,"open",17,16,,3,,,,,,6,,,,,,,,10,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",54,"cushion",25.5,22,,,,,,21,,7,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",49,"open",27,19,,7,,,,,,12,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",7,"open",10,9,,6,,,,,,18,1,,,1,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",49,"cushion",27,19,11,10,,,,,22,27,,,,,,,,,,,,,56
