Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Oxyria digyna,Viola biflora,Astragalus alpinus,Bistorta vivipara,Luzula sp,Taraxacum sp,Saxifraga cernua,Salix reticulata,Poa alpina,Gnaphalium supinum,Calamagrostis lapponica,Saxifraga oppositifolia,Equisetum sp,Saxifraga tenuis,Potentilla crantzii,Silene acaulis,Salix polaris,Arabis alpina,Cerastium alpinum,Salix herbacea,Festuca ovina or vivipara,Luzula spicata,Thalictrum alpinum,Dryas octopetala,Cardamine bellidifolia,Bartsia alpina,Carex lachenalii,Juncus trifidus,Juncus biglumis,Salix sp,Luzula arcuata,Ranunculus nivalis,Pinguicula sp,Euphrasia frigida,Cassiope hypnoides,Luzula multiflora,Selaginella selaginoides,Tofieldia pusilla,Carex bigelowii,Minuartia sp
89,"Latnja","Silene acaulis",32,"cushion",20,19,,,,8,2,,,,,,,,,,,,12,,,,,,,,,,,,,,,3,,,,,,,,
89,"Latnja","Silene acaulis",32,"open",20,19,1,,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",33,"cushion",30,28,,,,10,,,1,,,,,,,,3,,6,,,,,,,,,,,3,,,,,,,,,,,,
89,"Latnja","Silene acaulis",33,"open",30,28,,,,15,,1,2,,,,,,,1,,,11,1,1,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",34,"cushion",35,25,,,,29,,,,1,,,,3,,,,,40,,,,,,,,,,,,,,6,,,,4,,,,,
89,"Latnja","Silene acaulis",34,"open",35,25,,,,20,6,,1,,,,,3,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",35,"cushion",20,15,1,,,5,1,,1,,,,,3,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,
89,"Latnja","Silene acaulis",35,"open",20,15,2,,,2,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",36,"cushion",20,18,,,,8,,,,,,,,2,,,,,9,,,,,,,,,,,30,,,,,,,1,,,,,
89,"Latnja","Silene acaulis",36,"open",20,18,,,,11,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
89,"Latnja","Silene acaulis",37,"cushion",33,17,,,,18,,,,,,,,1,,,,,3,,,,,,,,,1,,,,,,1,,,1,,,,,
89,"Latnja","Silene acaulis",37,"open",33,17,,,,16,1,,,,,,,,,1,2,,14,,,,1,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",38,"cushion",20,15,,,,8,3,,,,4,,2,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",38,"open",20,15,,,,6,,5,,,6,7,,,,,,,,,1,,2,,,,,,,4,,,,,,,,,,,,
89,"Latnja","Silene acaulis",39,"cushion",28,21,2,,,13,,,,,,,,2,,,,,9,,,,10,5,,,,1,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",39,"open",28,21,5,,,2,2,1,,,2,,,,,,,,2,,2,,,3,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",40,"cushion",21,18,,,,6,1,,,,,5,,1,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,
89,"Latnja","Silene acaulis",40,"open",21,18,,,,9,1,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
89,"Latnja","Silene acaulis",41,"cushion",21,13,4,2,,2,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,1,,
89,"Latnja","Silene acaulis",41,"open",21,13,,1,,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",42,"cushion",20,15,,,,15,,,,,,,1,3,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",42,"open",20,15,,,,13,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
89,"Latnja","Silene acaulis",43,"cushion",38,27,6,,,41,,,,1,,,13,1,,,,,10,,,2,3,7,,,,,2,,,1,,1,,,,,,,,
89,"Latnja","Silene acaulis",43,"open",38,27,,,,32,1,,,8,,,1,3,,,,,5,,,6,15,,,,,2,,,,,,,1,,,,,,,
89,"Latnja","Silene acaulis",44,"cushion",25,14,,,,13,,,,,,,5,,,,,,9,,,,,,,,,,,,,,,,,,,,,2,,
89,"Latnja","Silene acaulis",44,"open",25,14,,,,10,4,,,,,,6,,,,,,8,,,,3,2,,,,,,,,,,2,,,,,,1,,
89,"Latnja","Silene acaulis",45,"cushion",20,19,1,,,9,,,,,,,6,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",45,"open",20,19,,,,10,,,,2,,,3,,,,,,,,3,,,,,,,,4,5,,,,,,,,,,1,,
89,"Latnja","Silene acaulis",46,"cushion",24,18,,,4,6,1,,,,,,,,,,,,6,,,,3,1,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",46,"open",24,18,2,,,,,,,,,,,2,,,,1,5,,1,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",47,"cushion",35,23,1,,,30,2,,,,,,,4,,,,,8,,,,3,1,2,,,,,,,,,,,,,,,,1,
89,"Latnja","Silene acaulis",47,"open",35,23,,,,19,,,,3,,,,6,,,,,,,,,10,,,,,,,,,,,,,4,,,,,,
89,"Latnja","Silene acaulis",48,"cushion",20,14,,,,13,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,2,,
89,"Latnja","Silene acaulis",48,"open",20,14,,,,14,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",49,"cushion",20,16,,,,10,,,,,,,,4,,,,,2,,,,3,,,1,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",49,"open",20,16,,,,4,5,,,1,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1
89,"Latnja","Silene acaulis",50,"cushion",29,21,,,,15,,,,,,,9,,,,1,,,,,5,,,,,,,,,,,,2,,,,,,,,
89,"Latnja","Silene acaulis",50,"open",29,21,,,,4,1,,3,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
