site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Barneoudia major,Bromus setifoluis,Calandrinia affinis,Carex sp 2,Cerastium arvense,Chaetanthera lycopodioides,Erigeron andicola,Festuca magellanica,Hordeum comosum,Hypochaeris tenuifolia,Loasa sigmoidea,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Pozoa coriacea,Rytidosperma violaceum,Senecio looseri,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola atropurpurea,Viola philippii,dataset code
"Tres Puntas","Azorella madreporica",49,"open","","",,,,,,6,,,3,,1,,,,,,,,,,1,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",50,"open","","",,,,,,5,,,3,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",51,"open","","",,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",52,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",53,"open","","",,,,,2,,,,5,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",54,"open","","",,,,,,1,,,3,,,2,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",55,"open","","",,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",56,"open","","",,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",57,"open","","",,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",58,"open","","",,,,,5,2,,,3,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",59,"open","","",,,,,,3,,,2,,1,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",60,"open","","",,,,,,3,,,2,,1,,1,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",61,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",62,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",63,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,58
"Tres Puntas","Azorella madreporica",64,"open","","",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",65,"open","","",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",67,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",68,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,58
"Tres Puntas","Azorella madreporica",69,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",70,"open","","",,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",71,"open","","",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",72,"open","","",,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",73,"open","","",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",74,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",75,"open","","",,,,,,,,,,,2,,,,,,,,,6,,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",76,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",77,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",78,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",79,"open","","",,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",80,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",81,"open","","",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",82,"open","","",,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",83,"open","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,58
"Tres Puntas","Azorella madreporica",84,"open","","",,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,58
