"site","cushion","code","sample","cushion.open","diam1","diam2","area","Azorella trifurcata","Calamagrostis curvula","Calamagrostis sp","Festuca sp","Moschopsis monocephala","Nototriche aruicoma","Parastrephia lepidophylla","Perezia atacamensis","Senecio puchii","Unknown","Werneria glaberrima"
"Atacama","Pycnophyllum bryoides",5,56,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,57,"open",,,,,,,1,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,58,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,59,"open",,,,,,,2,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,60,"open",,,,,,,3,,,,,,,
"Atacama","Pycnophyllum bryoides",5,61,"open",,,,1,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,62,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,63,"open",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,64,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,65,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,66,"open",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,67,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,68,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,69,"open",,,,,,,3,,,,,,,
"Atacama","Pycnophyllum bryoides",5,70,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,71,"open",,,,,,,4,,,,1,,1,
"Atacama","Pycnophyllum bryoides",5,72,"open",,,,,,,,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,73,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,74,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,75,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,76,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,77,"open",,,,,,,2,,,,,,,
