Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),no flowers,no species,no plants,aster,carex,caryo,draba,draba (yellow),festuca,Koeleria macrantha,penstemon heterodoxus,phlox,plantago,trifolium andersonii
101,"White Mountains","Eriogonum sp.",48,"on cushion",22,18,30,6,12,1,,,,,1,5,1,1,,3
101,"White Mountains","Eriogonum sp.",48,"in open",22,18,,,,,,,,,,,2,,2,2
101,"White Mountains","Eriogonum sp.",49,"on cushion",16,16,32,3,7,,,,,,1,,,,1,5
101,"White Mountains","Eriogonum sp.",49,"in open",16,16,,,,1,,,,1,,,,1,,3
101,"White Mountains","Eriogonum sp.",50,"on cushion",18,13,17,3,22,,,,,,,12,,6,,4
101,"White Mountains","Eriogonum sp.",50,"in open",18,13,,,,,,,1,,,5,,,1,6
101,"White Mountains","Eriogonum sp.",51,"on cushion",13,15,15,,,,,,,,,8,,,1,4
101,"White Mountains","Eriogonum sp.",51,"in open",13,15,,,,,,,,,,3,,,4,5
101,"White Mountains","Eriogonum sp.",52,"on cushion",21,13,60,,,,,,1,,7,1,,,,8
101,"White Mountains","Eriogonum sp.",52,"in open",21,13,,,,,,,1,,,,,,5,8
101,"White Mountains","Eriogonum sp.",53,"on cushion",14,18,25,,,1,,,,,,4,,,1,6
101,"White Mountains","Eriogonum sp.",53,"in open",14,18,,,,,,,1,,,8,5,,1,3
101,"White Mountains","Eriogonum sp.",54,"on cushion",21,19,38,,,,,,,,,10,,,5,8
