"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia echinus","Adesmia sp 2","Adesmia subterranea","Azorella madreporica","Calandrinia caespitosa","Calandrinia sp","Carex sp","Cerastium arvense","Chaetanthera lycopodioides","Chaetanthera pentacaenoides","Crucifera","Erigeron andicola","Gayophytum micranthum","Hordeum comosum","Jarava chrysophylla","Kurzamra pulchella","Menonvillea sp","Montiopsis copiapina","Nassauvia cumingii","Olsynium junceum","Oxalis sp","Phacelia secunda","Poa holciformis","Senecio sp","Trisetum oreophilum","Viola montagnei","Viola philippii"
"Elqui","Adesmia subterrania",8,9,"open",,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,10,"open",,,,,,,,,,,,3,5,,,,,,,,,,,,1,,,,,
"Elqui","Adesmia subterrania",8,11,"open",,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,12,"open",,,,,,,,,,,,,6,2,,2,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,13,"open",,,,,1,,,,1,,,1,21,1,,,,,,,,,,,,,4,,,
"Elqui","Adesmia subterrania",8,14,"open",,,,,,,,,,,,,5,1,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,15,"open",,,,,1,,,,1,,,,14,1,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,16,"open",,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,17,"open",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,18,"open",,,,,,,,,,,1,,11,,1,,,,,,,,,3,,,,,,
"Elqui","Adesmia subterrania",8,19,"open",,,,,1,,,,,,,,14,,1,,,,,1,,1,,,,,,,,
"Elqui","Adesmia subterrania",8,20,"open",,,,,1,,,,,,1,,6,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,21,"open",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,27,"open",,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,28,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,31,"open",,,,,,,,,,,2,,2,,,,,,,,,,,,,1,,,,1
"Elqui","Adesmia subterrania",8,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Elqui","Adesmia subterrania",8,33,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,34,"open",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,
"Elqui","Adesmia subterrania",8,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Elqui","Adesmia subterrania",8,36,"open",,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,
"Elqui","Adesmia subterrania",8,37,"open",,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,
"Elqui","Adesmia subterrania",8,38,"open",,,,,,,,,,,,,4,,,,,,,,,,,2,,1,,,,
"Elqui","Adesmia subterrania",8,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,40,"open",,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,1,1
"Elqui","Adesmia subterrania",8,41,"open",,,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,42,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,48,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,49,"open",,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,50,"open",,,,,,,,,,,,1,14,1,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,51,"open",,,,,,,,,,,1,,,,,,,1,,1,,,2,,,,1,,,
"Elqui","Adesmia subterrania",8,52,"open",,,,,,,,,4,,,6,,2,,,1,,,1,,,,,,,1,,,1
"Elqui","Adesmia subterrania",8,53,"open",,,,,,,,,1,,,,,,,,,,,,,,2,,,,1,,,
"Elqui","Adesmia subterrania",8,54,"open",,,,,,,,,,,,2,12,,,,,,,,,,,,,,2,,,
"Elqui","Adesmia subterrania",8,55,"open",,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,1,
"Elqui","Adesmia subterrania",8,56,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,57,"open",,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,58,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,59,"open",,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,60,"open",,,,,1,,,,,,3,3,5,,1,,,,,,,,,,,,,,1,1
"Elqui","Adesmia subterrania",8,61,"open",,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,62,"open",,,,,,,,,,,,,6,2,,2,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,63,"open",,,,,1,,,,1,,,1,21,1,1,,,,,,,,,,,,4,,1,
"Elqui","Adesmia subterrania",8,69,"open",,,,,,,,,,,1,,14,,,,,,,,,1,,,,,,,,1
"Elqui","Adesmia subterrania",8,70,"open",,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,
"Elqui","Adesmia subterrania",8,71,"open",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,72,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,73,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,74,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,75,"open",,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,76,"open",,,,,,,,,,,2,,8,,,,,1,,1,,,,,,,,,,
"Elqui","Adesmia subterrania",8,77,"open",,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,78,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,79,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,80,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,81,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,1,
"Elqui","Adesmia subterrania",8,82,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Elqui","Adesmia subterrania",8,83,"open",,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,84,"open",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,
