"site","cushion","code","sample","cushion.open","diam1","diam2","area","Arenaria obtusifolia","Artemisia scopulorum","Aster alpigenus","Bupleurum americanum","Carex phaeocephala","Castilleja pallescens","Cerastium arvense","Cetraria aculeata","Cetraria islandica","cf Dactylina madreporiformis","Douglasia montana","Draba paysonii","Draba praealta","Erigeron caespitosum","Erigeron rydbergii","Eritrichium nanum","Festuca ovina","Gentiana algida","Geum rossii","Koeleria crassipes","Lupinus argenteus var depressum","Luzula spicata","Phlox pulvinata","Poa alpina","Polemonium viscosum","Polygonum bistortioides","Polytrichum piliferum","Potentilla diversifolia","Sedum lanceolatum","Selaginella densa","Senecio canus","Smelowskia calicina","Trifolium nanum"
"Beartooth","Silene acaulis",31,15,"open",,,,,8,,,5,,,10,15,,,,,,,,1,,6,,,,1,,,,3,,,,,,
"Beartooth","Silene acaulis",31,16,"open",,,,1,7,,,2,,,8,3,,,,,,,,,,6,,4,,,,,,4,,2,4,,,
"Beartooth","Silene acaulis",31,26,"open",,,,,9,,,6,,,5,,,,,,,,,3,,3,,,,,,,,1,,1,2,,,
"Beartooth","Silene acaulis",31,27,"open",,,,2,2,,,,,,,,,,,,,,,,,4,,1,,,,,,4,1,2,,,,
"Beartooth","Silene acaulis",31,34,"open",,,,3,,,,7,,,,,,,,,,,,3,,8,,,,,,,,,2,,,,,
"Beartooth","Silene acaulis",31,35,"open",,,,1,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,36,"open",,,,2,,,,,,,,,,,,,,3,,5,,1,,,,,,,4,,,,,,,
"Beartooth","Silene acaulis",31,37,"open",,,,2,4,,,,,,,,,,,,,1,1,1,,4,,,,,,,,,,1,1,,,
"Beartooth","Silene acaulis",31,38,"open",,,,4,,,,5,,,,,,,,,,,,1,,13,,,,,,,,,,1,,,,
"Beartooth","Silene acaulis",31,45,"open",,,,4,3,,,,,,,,,,,,,,,4,,10,,,3,,,,,3,2,,,,,
"Beartooth","Silene acaulis",31,46,"open",,,,,3,,,10,,,,,,,,,,,1,2,,8,,,,,,,,4,,,,,,
"Beartooth","Silene acaulis",31,47,"open",,,,6,3,,,,,,,,2,,,,,,,2,,14,,,,,,,,,3,4,4,,,
"Beartooth","Silene acaulis",31,48,"open",,,,1,,,,8,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,49,"open",,,,1,2,,,6,,,,,2,,,,,,1,,,2,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,56,"open",,,,2,8,,,2,,,,,1,,,,,,1,,,10,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,57,"open",,,,4,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
