site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis,Alchemilla,Anthyllis,Arenaria,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Crepis,Daphne,Draba,Dryas octopetala,Erigeron 1,Erigeron 2,Festuca,Gentiana 1,Gentiana 2 (blue),Gentiana 3 (pointed leaves),Globularia,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Leucanthemum,Linaria,Oreochloa,Polygala,Saponaria caespitosa,Saxifraga 1 (creeping),Saxifraga 2 (pink/leafy),Saxifraga oppositifolia,Teucrium,Veronica,dataset code
"Benasque 1","Saponaria_caespitosa",20,"open",36,39,,,,,15,,,,,,,,,,,,,,,1,4,,,,,,,6,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",21,"open",35,32,,,1,,11,,1,,,,,,,,,,,,,1,4,,,,,,,2,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",22,"open",42,40,,,4,,19,,,,1,,,,,,,,1,,,1,4,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",28,"open",22,26,,,0,,0,,,,,,,0,,,,,,,,,4,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",29,"open",34,33,,,0,,2,,,,,,,0,,,,,,,,,4,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",30,"open",25,18,,,1,,2,,,,,,,,,,,,,,,,2,,,,,,,,10,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",31,"open",39,13,,,0,,3,,,,,,,,,,,,0,,,,5,,,,,,,,3,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",32,"open",32,28,,,0,,6,,,,,,,,,,,,0,,,,5,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",38,"open",26,19,,,0,,4,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",39,"open",22,20,,,1,,3,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",40,"open",42,40,,,0,,8,,1,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",41,"open",16,15,,,0,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",42,"open",48,31,,,3,,28,,,,,,1,,,,,6,,,,1,1,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",48,"open",16,15,,,0,,12,,,,,,,,,,,5,,,,,4,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",49,"open",55,29,,,5,,18,,,,,,,1,,,,,,,,3,4,,,,,,,5,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",50,"open",29,27,,,0,,9,,,,,,,,,,,,,,,,3,,,6,,,,12,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",51,"open",47,34,,,3,,12,,,,,,,,,8,,,,,,1,6,,,,,,,3,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",52,"open",30,22,,,3,,15,,,,,,,,,,,,,,,1,1,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",58,"open",34,21,,,1,,7,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,73
"Benasque 1","Saponaria_caespitosa",59,"open",25,25,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",60,"open",42,30,,,,,13,,,,1,,,1,,4,,,,,,,11,,,,,,,,4,,1,,1,,,,73
"Benasque 1","Saponaria_caespitosa",61,"open",30,35,,,3,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,73
"Benasque 1","Saponaria_caespitosa",62,"open",43,38,,,,1,,,,,,,,1,,,,,,,,2,2,,,,,,,,1,,1,1,1,,,,73
"Benasque 1","Saponaria_caespitosa",68,"open",23,13,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,1,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",69,"open",30,30,,,2,,2,,,,,,,,,,,,,,,,2,,,1,,,,,1,,,,1,,,,73
"Benasque 1","Saponaria_caespitosa",70,"open",18,17,,,,,4,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",71,"open",15,15,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",72,"open",40,32,,,2,,,,,,,,,,,,,,,,,,6,,,3,,,,,4,,,,,1,,,73
"Benasque 1","Saponaria_caespitosa",78,"open",45,43,,,1,,13,,,,,,,1,,6,,,,,4,,12,,,,1,,,2,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",79,"open",30,24,,,1,,9,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",80,"open",15,10,,,1,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",81,"open",42,40,,,2,,20,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",82,"open",12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
