"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena leptacantha","Adesmia sp4","Barneoudia major","Bromus setifoluis","Carex sp 2","Chaetanthera apiculata","Chaetanthera euphrasioides","Chaetanthera planiseta","Chaetanthera pusilla","Cuscuta chilensis","Erigeron andicola","Haplopappus scrobiculatus","Hordeum comosum","Hypochaeris tenuifolia","Loasa sigmoidea","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Poa pratensis","Pozoa coriacea","Quinchamalium chilense","Rhodophiala uniflora","Rytidosperma violaceum","Senecio bustillosianus","Senecio looseri","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Tropaeolum polyphyllum","Viola philippii"
"La Parva","Laretia_acaulis",14,51,"cushion",,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,2,,,,,,,1,,1,,,
"La Parva","Laretia_acaulis",14,60,"cushion",,,,6,,,3,,,,,,,8,,3,,,2,,,,3,3,,2,6,,,1,4,,,1,2,8,,,
"La Parva","Laretia_acaulis",14,61,"cushion",,,,,,,1,,,,,,1,,1,,,,,,,,,,,2,2,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,62,"cushion",,,,,1,,4,,,,,,,1,,,,,,1,,,,,,2,,,,,,,2,,,4,,,
"La Parva","Laretia_acaulis",14,63,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,64,"cushion",,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,65,"cushion",,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,1,,,,
"La Parva","Laretia_acaulis",14,66,"cushion",,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,67,"cushion",,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,68,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,77,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"La Parva","Laretia_acaulis",14,78,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,79,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,80,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,81,"cushion",,,,,,2,2,,,,,,,2,,2,,,2,,,,2,,,,3,,,3,1,,,4,,,,,
"La Parva","Laretia_acaulis",14,82,"cushion",,,,,,1,2,,,,,,,,,3,,,,,,,,1,,,,,,1,3,,,,1,,,,
"La Parva","Laretia_acaulis",14,83,"cushion",,,,,,,3,,,,,,,1,,2,,,,,2,,,,,3,2,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,84,"cushion",,,,3,,,2,,,,,,,6,,5,,,,,1,,1,,,5,5,,,,,,1,2,2,1,2,,
"La Parva","Laretia_acaulis",14,85,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,95,"cushion",,,,,,,2,1,,,,,,,,,,,,,,,,,,2,2,,1,,3,,,3,2,1,,,
"La Parva","Laretia_acaulis",14,96,"cushion",,,,,,,2,2,,,,,,5,,2,,,,,1,,,2,,,3,,,,,,,2,,,2,,
"La Parva","Laretia_acaulis",14,97,"cushion",,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,98,"cushion",,,,3,,1,6,1,,,,,,3,,4,,,,1,2,,,,,5,5,,3,,3,,,,2,6,3,,1
"La Parva","Laretia_acaulis",14,99,"cushion",,,,,,,1,,,,,,,1,,1,,,,,,,,,,3,3,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,100,"cushion",,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,1,"open",,,,,,,,1,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,2,"open",,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,3,"open",,,,,,1,,,,2,,,,,,,,,,1,,,,,,4,,,,,,,,2,,,,,3
"La Parva","Laretia_acaulis",14,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,5,"open",,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,6,"open",,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2
"La Parva","Laretia_acaulis",14,7,"open",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,8,"open",,,,,,,,1,,,,,,,2,,,1,,1,,,,,,4,3,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,9,"open",,,,,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,10,"open",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,12,"open",,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,13,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,14,"open",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,15,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,2,2,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,16,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,20,"open",,,,,,,,,,,,,,,,,,,,1,,,,,,3,5,1,,1,,,,,,,,1,
"La Parva","Laretia_acaulis",14,21,"open",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,22,"open",,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,23,"open",,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,1,
"La Parva","Laretia_acaulis",14,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,26,"open",,,,,,,,,,1,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,28,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,29,"open",,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,30,"open",,,,,,,,,,,,2,,,,2,,,,1,,,,,,2,2,,,1,,,,1,,,,,
"La Parva","Laretia_acaulis",14,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,2
"La Parva","Laretia_acaulis",14,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,33,"open",,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,34,"open",,,,,,,,,,,1,,,,,2,,,,,,,,,1,2,,,,1,,,,,,,,1,
"La Parva","Laretia_acaulis",14,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,36,"open",,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,2,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,37,"open",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,38,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,40,"open",,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,41,"open",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,42,"open",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,44,"open",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,45,"open",,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,46,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,47,"open",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,48,"open",,,,,,1,,,,,,,,,1,1,,,,,,,,,,2,2,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,49,"open",,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,50,"open",,,,,,,,,,5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,51,"open",,,,,1,1,,,,1,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,52,"open",,,,,1,,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,53,"open",,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,54,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,55,"open",,,,,,,1,,,4,34,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,56,"open",,,,,,,,,,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"La Parva","Laretia_acaulis",14,57,"open",,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,58,"open",,,,,,,,,,,153,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2
"La Parva","Laretia_acaulis",14,59,"open",,,,,1,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,60,"open",,,,,,1,,,2,1,,,,,,,,,,2,,1,,,,4,,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,61,"open",,,,,,,,,,,119,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,62,"open",,,,,,,,,,22,122,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,1
"La Parva","Laretia_acaulis",14,63,"open",,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,64,"open",,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,65,"open",,,,,,,,,,19,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,66,"open",,,,,1,,,,,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,67,"open",,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,68,"open",,,,,,,,,,,36,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,69,"open",,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,70,"open",,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,71,"open",,,,,,,,,,,,1,,,,,,,1,,,,,,,2,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,72,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,73,"open",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,74,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,75,"open",,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,76,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
