"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 3","Adesmia sp 4","Adesmia sp 6","Anarthrophyllum gayanum","Barneoudia major","Berberis empetrifolia","Bromus catharticus","Bromus setifolius","Calandrinia caespitosa","Chaetanthera euphrasioides","Chaetanthera pusilla","Chuquiraga oppositifolia","Ephedra chilensis","Erigeron andicola","Euphorbia collina","Haploppappus scrobiculatus","Hordeum comosum","Montiopsis gayana","Nassauvia axillaris","Nassauvia uniflora","Nastanthus agglomeratus","Oxalis squamata","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Polygala salasiana","Quinchamalium chilense","Rhodophiala uniflora","Senecio bustillosianus","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum"
"La Parva","Laretia_acaulis",13,94,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,
"La Parva","Laretia_acaulis",13,95,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,
"La Parva","Laretia_acaulis",13,96,"open",,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,97,"open",,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,98,"open",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,99,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
"La Parva","Laretia_acaulis",13,100,"open",,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,
"La Parva","Laretia_acaulis",13,9,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5
"La Parva","Laretia_acaulis",13,10,"cushion",,,,,,,,,,,4,,,,,,,3,,,,,3,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,11,"cushion",,,,,,,,1,,,5,,,,,,,,,,,1,4,,,,6,,3,1,,2,,,3,
"La Parva","Laretia_acaulis",13,12,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,,,12,,1,,,,,1,,
"La Parva","Laretia_acaulis",13,13,"cushion",,,,,,,,,,,7,,,,,,,,,1,,,,,1,1,,,,1,,,,1,,
"La Parva","Laretia_acaulis",13,14,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,2,
"La Parva","Laretia_acaulis",13,15,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"La Parva","Laretia_acaulis",13,16,"cushion",,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,17,"cushion",,,,,,,,,,,8,,,,1,,,,,,,,,,,,,,8,,,,,1,,
"La Parva","Laretia_acaulis",13,18,"cushion",,,,,,,,,,,9,,,,,,,,,,,,3,,,,3,,,,,,,1,,
"La Parva","Laretia_acaulis",13,27,"cushion",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,
"La Parva","Laretia_acaulis",13,28,"cushion",,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,29,"cushion",,,,,,,,,,,6,2,,,,,,,1,,,,2,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,30,"cushion",,,,,,,,,2,,7,,,,1,,,,,,,,,,,,,,,1,1,,,1,,
"La Parva","Laretia_acaulis",13,31,"cushion",,,,,,,,,,,3,,,,,,,1,,,,,2,,,,,,4,,,,,1,,
"La Parva","Laretia_acaulis",13,32,"cushion",,,,,,,,7,,,14,4,,,2,,,6,,2,,,1,1,3,,14,,15,1,,2,3,4,3,4
"La Parva","Laretia_acaulis",13,33,"cushion",,,,,,,,,2,,5,,,,,,,5,,,,,,2,1,,17,,5,1,,,1,1,,
"La Parva","Laretia_acaulis",13,34,"cushion",,,,,,,,,1,,,,,,2,,,2,,,,,,3,,,,,,1,1,1,,1,,
"La Parva","Laretia_acaulis",13,35,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,36,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,45,"cushion",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4,1,,1,,1,,
"La Parva","Laretia_acaulis",13,46,"cushion",,,,,,,,,,,11,,,,,,,3,2,,,,4,,,,,,,1,,,,,1,
"La Parva","Laretia_acaulis",13,47,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,1,,
"La Parva","Laretia_acaulis",13,48,"cushion",,,,,,,,,,,,2,,,,,,,,2,,1,,3,1,,14,,,1,,2,,1,,
"La Parva","Laretia_acaulis",13,49,"cushion",,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,50,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,1,,,,1,,
"La Parva","Laretia_acaulis",13,51,"cushion",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,52,"cushion",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",13,53,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,54,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,63,"cushion",,,,,,,,4,,,,,,,2,,,1,,,,,,,,,,,6,,,,,1,,
"La Parva","Laretia_acaulis",13,64,"cushion",,,,1,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,65,"cushion",,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,3,1,,,,1,,
"La Parva","Laretia_acaulis",13,66,"cushion",,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,1,,,,,1,
"La Parva","Laretia_acaulis",13,67,"cushion",,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,68,"cushion",,,,,,,,2,,3,6,1,,,4,,,2,,1,1,,,,,,,,5,,,1,,1,,
"La Parva","Laretia_acaulis",13,69,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,
"La Parva","Laretia_acaulis",13,70,"cushion",,,,,,,,,,,4,,,,,,,3,,,,,1,,,,,,,,,,,2,,
"La Parva","Laretia_acaulis",13,71,"cushion",,,,1,,,,,,,5,,,,,,,,,2,1,,2,,,,6,,3,1,,2,,,3,1
"La Parva","Laretia_acaulis",13,72,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,,,12,,1,,,,,1,,
"La Parva","Laretia_acaulis",13,81,"cushion",,,,,,,,,,,6,1,,,,,,1,2,,,,,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,82,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,1,,,,2,,
"La Parva","Laretia_acaulis",13,83,"cushion",,,,1,,,,,3,,6,6,,,2,,,,,2,,,1,,,,9,,31,2,1,,2,1,3,3
"La Parva","Laretia_acaulis",13,84,"cushion",,,,,,,,1,,,4,,,,1,,,1,,,,1,,,,,,,2,1,2,,,1,2,
"La Parva","Laretia_acaulis",13,85,"cushion",,,,,,,,1,2,,11,2,,,3,1,,2,,3,,,1,,,,14,,7,2,,1,,2,1,
"La Parva","Laretia_acaulis",13,86,"cushion",,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,,,2,,,,1,,
"La Parva","Laretia_acaulis",13,87,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,88,"cushion",,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,89,"cushion",,,,,,,,,,,6,1,,,,,,,,,,,1,,,,,,,2,,,1,,,
"La Parva","Laretia_acaulis",13,90,"cushion",,,,,,,,,2,,7,,,,1,,,,,,,,,,,,,,,2,,,,2,,
