Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),area (cm2),Acantholimon brachystachyum,Allium tuchalense,Alopecurus textilis,Arenaria insignis,Asperula glomerata,Astragalus capito,Astragalus macrosemius seedling,Bromus tomentosus,Campanula ruprechtii,Catabrosella parviflora,Crepis heterotricha,Draba pulchella,Elymus longaristatus,Festuca cf alaica,Galium decumbens,Helichrysum psychrophilum,Jurinella frijida,Oxytropis persicus,Physoptychis gnaphalodes,Piptatherum laterale,Poa araratica,Polygonum molliaeforme,Scorzonera meyeri,Trachydium depressum,Veronica kurdica subsp kurdica,Ziziphora clinopodioides subsp rigida
46,"Alborz Iran","Astragalus macrosemius",78,"cushion","","",2500,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",79,"cushion","","",2624,2,,,2,,,,,,,,,2,,,,2,,,,2,22,,,,
46,"Alborz Iran","Astragalus macrosemius",80,"cushion","","",3845,3,,,,1,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",1,"open","","",4250,,,1,,,,1,,,,,1,,1,,,,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",2,"open","","",1516,1,,,,1,,,,,,,,,,,,,,,,,5,,,,
46,"Alborz Iran","Astragalus macrosemius",3,"open","","",2411,,,,,,,,1,,,,,,,,,2,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",4,"open","","",2475,,,,3,,,1,,,,,,,,,,1,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",5,"open","","",1925,,,,,,,,1,3,,,,,,,,3,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",6,"open","","",4500,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",7,"open","","",3025,,,,,,,,,,,,,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",8,"open","","",3250,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",9,"open","","",3923,,,,,,,,,,,,,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",10,"open","","",6607,,,,,1,,,,,,,,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",11,"open","","",1800,,,3,,1,,,,,,,,,,,,13,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",12,"open","","",2250,,,1,,,,,,,,,1,,,,,2,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",13,"open","","",1514,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",14,"open","","",3300,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",15,"open","","",1925,,,,1,,,,,,,,,,,,,,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",16,"open","","",2100,,,,,1,,,1,4,1,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",17,"open","","",1622,,1,,,1,,,,11,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",18,"open","","",2500,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",19,"open","","",2500,,,,,1,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",20,"open","","",2625,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",21,"open","","",3025,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",22,"open","","",2500,,,1,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",23,"open","","",2000,,,,,,,,,,,,,,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",24,"open","","",1800,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",25,"open","","",3300,,,,,,,,,,,,,1,,,,11,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",26,"open","","",3012,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",27,"open","","",4928,,,,,,,,,,,,,1,,,,3,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",28,"open","","",2914,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",29,"open","","",3484,,,,1,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",30,"open","","",2754,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",31,"open ","","",1519,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",32,"open","","",2756,,,,3,,,,,,,1,,,,,,,,,,1,,,,,2
46,"Alborz Iran","Astragalus macrosemius",33,"open","","",3111,,,,,,,,3,,,,3,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",34,"open","","",1794,,,,,,,,,1,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",35,"open","","",8176,1,,1,,,,,5,7,,,8,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",36,"open","","",7626,,,2,,,,1,2,,,,,,,,,,,,,,,,,,1
46,"Alborz Iran","Astragalus macrosemius",37,"open","","",4941,,,,,,,,2,,,,,,1,,,,,1,,,,,,,2
46,"Alborz Iran","Astragalus macrosemius",38,"open","","",8480,,,,,,,,2,,,,,,,,,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",39,"open","","",8645,,,,,2,,,3,,,,4,,5,,,,5,,,,,,,,4
46,"Alborz Iran","Astragalus macrosemius",40,"open","","",3200,,,,,,,,2,,,,4,,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",41,"open","","",4620,,,,,1,,,2,8,,,,,2,,2,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",42,"open","","",2829,,,,,,,,,6,,,3,,4,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",43,"open","","",3496,,,,,,,,1,16,,,,,4,,,,,,1,,,,,,1
46,"Alborz Iran","Astragalus macrosemius",44,"open","","",5642,,,,2,,,,1,,,,7,,3,,,,,,1,,,,,,
46,"Alborz Iran","Astragalus macrosemius",45,"open","","",3621,,,,7,,,,,,,,1,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",46,"open","","",3564,,,,6,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",47,"open","","",6745,,,,7,,,,,,,,5,,5,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",48,"open","","",6138,,,,,,,,,12,,,4,3,,,,,,,,,,,4,,
46,"Alborz Iran","Astragalus macrosemius",49,"open","","",5981,,,,2,2,,1,,2,,,15,,3,,,,,,,,,,,,4
46,"Alborz Iran","Astragalus macrosemius",50,"open","","",2411,,,2,1,,,,,,,,1,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",51,"open","","",21432,,,,1,1,,,,,,,8,7,,,,,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",52,"open","","",13068,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",53,"open","","",4131,,,,1,,,1,,,,,2,3,2,,,,,,,3,,,,,2
46,"Alborz Iran","Astragalus macrosemius",54,"open","","",3645,,,,,,,1,,,,,,,1,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",55,"open","","",2356,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",56,"open","","",2475,,,,,,,,,,,,,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",57,"open","","",3774,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",58,"open","","",3355,,,,,,,,,,,,,4,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",59,"open","","",3016,,,,,,,,,,,,,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",60,"open","","",1938,,,,,,,4,,,,,,,,,,,,,,,65,,,,
46,"Alborz Iran","Astragalus macrosemius",61,"open","","",5102,1,6,,,,,1,,,,,2,,,,,,,,,,5,,,,
46,"Alborz Iran","Astragalus macrosemius",62,"open","","",2288,,6,,3,,,,,5,,,5,,3,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",63,"open","","",5118,,,,,,,,1,,,,1,,3,,,,,,,,123,,,,
46,"Alborz Iran","Astragalus macrosemius",64,"open","","",3534,,,,,,4,,,,,,,,,,,,,,,1,116,,,,
46,"Alborz Iran","Astragalus macrosemius",65,"open","","",5576,1,,,,,3,,,,,,7,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",66,"open","","",4278,,,,,,,,1,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",67,"open","","",8645,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",68,"open","","",5751,1,,,,,2,,,,,1,,,,,,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",69,"open","","",3895,,,,2,2,3,,,1,,,,,,,,5,,,,6,,,,,
46,"Alborz Iran","Astragalus macrosemius",70,"open","","",5625,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",71,"open","","",2925,,,,,1,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",72,"open","","",5390,,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",73,"open","","",20736,,,,,,,,,,,,,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",74,"open","","",4758,,,,1,,,,,,,,,,,,,,,,,2,,,,,
46,"Alborz Iran","Astragalus macrosemius",75,"open","","",4900,1,,,2,1,1,,,,,,,,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",76,"open","","",1575,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",77,"open","","",3456,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",78,"open","","",2500,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",79,"open","","",2624,,,,2,1,,,,,,,,,,,,2,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",80,"open","","",3845,,,,,,,,,,,,,,,,,,,,,,,,,,
