site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Androsace chamaejasme,Antennaria lanata,Astragalus alpinum,Carex geyeri,Claytonia megarhriza,Dryas octopetala,Erigeron canus,Erigeron compositus,Festuca idahoensis,Geum rossii,Hulsia algida,Oxytropis campestris,Phacelia sericea,Phlox hoodii,Picea glauca,Poa alpina,Dasiphora fruticosa,Potentilla nivea,Saxifraga bronchialis,Saxifraga lyallii,Saxifraga occidentalis,Saxifraga oppositifolia,Sedum lanceolatum,Sedum rosea,Smelowskia calycia,Solidago multiradiata,Stellaria americana,UNKNOWN,dataset code
"Swiftcurrent Low","Silene_acaulis",69,"open",11,13,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",70,"cushion",34,23,"",,"",,"","","",,,,"","","","","","",,5,"","","","",,"",,1,,"",86
"Swiftcurrent Low","Silene_acaulis",70,"open",34,23,"",,"",,"","","",,,4,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",71,"cushion",21,13,"",,"",,"","","",,1,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",77,"open",29,22,"",,"",,"","1","",,,,"","","","","","",,3,"","","","",,"",,5,1,"",86
"Swiftcurrent Low","Silene_acaulis",78,"cushion",32,36,"",,"",2,"","2","",,1,,"","1","","","","",,,"","1","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",78,"open",32,36,"",,"",,"","1","",,,,"","1","","","","",,1,"","","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",79,"cushion",16,16,"",,"2",,"","","",,,,"","","","","","",,,"1","","","",1,"",,,2,"",86
"Swiftcurrent Low","Silene_acaulis",79,"open",16,16,"",,"",,"","","",,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",80,"cushion",12,10,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",80,"open",12,10,"",,"",,"","","",,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",3,"open",36,24,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",4,"cushion",21,15,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",2,,,"",86
"Swiftcurrent Low","Silene_acaulis",4,"open",21,15,"",,"",,"","","",,1,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",5,"cushion",12,8,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",5,"open",12,8,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",6,"cushion",79,64,"",3,"",21,"","","",,,,"","","","","","",,,"","","","",,"",5,,,"",86
"Swiftcurrent Low","Silene_acaulis",6,"open",79,64,"",,"",1,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",7,"cushion",30,39,"",1,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",7,"open",30,39,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",8,"cushion",44,41,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",8,"open",44,41,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",9,"cushion",47,35,"",,"",1,"","","",,,,"","","","","","",,,"","","","",,"",,1,,"",86
