Site,Cushion sp,sample,cushion/open,Flower #,Flower gender,diam1  (cm),diam 2 (cm),Notes,Anenome occidentalis (tiny anenome),Antennaria alpina,Carex spp,Bistorta vivipara,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Grass spp,Lupinus arcticus,Masonhalea richardsonii (brown lichen),Moss,Pedicularis spp (Lousewort),Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Polytrichum spp,Potentilla spp (Cinquefoil),Rock lichen,Salix spp,Salix cascadensis (Salix 2),Saxifraga serpyllifolia (Yellow flower),Selaginella densa,Thamnolia spp,Saxifraga nelsoniana (Lobe leaf),Sedum spp (stonecrop),Saxifraga nivalis (Dandel),dataset code
"Cathedral Lake 1","Silene acaulis",21,"open","","",,,"",,,,,,,,,,,,,,,,,4,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",22,"cushion","","",17,14.2,"",,,,2,2,,7,,,,,,1,,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",23,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",25,"cushion","","",22,16.5,"",2,,,,2,,,,,,,,2,4,,,,6,,,,1,,,1,67
"Cathedral Lake 1","Silene acaulis",26,"open","","",,,"",,1,10,,5,,,,,,,,,1,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",27,"open","","",,,"",,,,,,,3,,,,,,,4,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",29,"cushion","","",33.6,29.5,"",,,10,,,,11,,,,,,3,,,5,,3,,,,,,,3,67
"Cathedral Lake 1","Silene acaulis",29,"open","","",,,"",,,,,10,,,,,,,,,,1,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",30,"cushion","","",17.4,14.5,"",3,,4,,,,10,,,,,,,4,,,,,,,,,,,1,67
"Cathedral Lake 1","Silene acaulis",30,"open","","",,,"",,,2,,3,,10,,,,,,,,,,3,1,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",31,"cushion","","",18.5,12.5,"",,,4,,,,5,,,,,,4,,,3,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",31,"open","","",,,"",,,,,,,,,,,,,,,,,4,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",32,"cushion","","",16.9,16.5,"",,1,,6,,,7,,,,,,,,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",32,"open","","",,,"",,,5,,,,7,,,,,,,,,,3,,,,,,,,,67
