"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,24,"cushion",,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,25,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,27,"cushion",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,9,,1,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,28,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,35,"cushion",,,,1,,10,10,,,,,,,,,,,,,,3,,,,,,,2,2,,,4,,,,5
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,36,"cushion",,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,12,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,37,"cushion",,,,2,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,6,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,38,"cushion",,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,39,"cushion",,,,,,,3,,1,,,,,,,3,,,,,3,,,,,,,,9,1,,5,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,40,"cushion",,,,15,,1,4,,,,,,,,,3,3,,,,3,,,,4,,,2,1,34,6,25,,,8,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,41,"cushion",,,,4,,4,,,,,,,,,,4,,,,,,,,,,,2,,2,10,,8,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,42,"cushion",,,,,,3,7,,,,,,,,,,,,,,2,,,1,9,,,3,,,6,3,,,,15
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,49,"cushion",,,,2,,23,27,,1,,,,,,,1,,,,,,,,,,,,1,,22,15,6,,,,5
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,50,"cushion",,,,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,51,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,52,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,53,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,54,"cushion",,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,55,"cushion",,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,56,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
