site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena,Acaena big,Adesmia,Asteraceae open,Azorella lycopoideodes,Calceolarea,Empetrum,Epilobium,Erigeron,Festuca,Haplopappus,Lathyrus,Lotus,Luzula,moustache,Nasauvia soft,Nasuvia hairy,Nasuvia teeth,Oxalis,Perezia,Saxifrage red,Saxifrage yellow,Senecio falso,Thlapsi,Trisetum,moss,dataset code
"Torres del Paine","Azorella_monantha",49,"cushion",25,25,,,,,,,,,,,,,,,,,,,2,2,,,,,,,64
"Torres del Paine","Azorella_monantha",50,"cushion",20,25,,,,,,,,,,,,,,,,2,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",51,"cushion",40,35,,,,,,,,,,,,,,,1,1,,,,2,,,,,2,,64
"Torres del Paine","Azorella_monantha",52,"cushion",40,35,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",53,"cushion",20,25,,,,,,,,,,,,,,,,,,,,,,,,,3,,64
"Torres del Paine","Azorella_monantha",54,"cushion",30,35,,,,,,,,,,3,,,,,,13,,,1,,,,,1,,,64
"Torres del Paine","Azorella_monantha",55,"cushion",30,30,,,,,,,,,,4,,,,,,12,1,,5,,,,,,,,64
"Torres del Paine","Azorella_monantha",56,"cushion",35,45,9,,,,,,,,,10,,,,,1,4,,,6,9,,,,,,,64
"Torres del Paine","Azorella_monantha",57,"cushion",25,30,,,,,,,,,,4,,,,,,2,,,,4,,,,,,,64
"Torres del Paine","Azorella_monantha",58,"cushion",35,40,,,,,,,,,3,1,,,,,,,,4,,,,,,,,,64
"Torres del Paine","Azorella_monantha",59,"cushion",35,35,,,,,,9,,,,1,,,,,,1,,,,1,,,,,1,,64
"Torres del Paine","Azorella_monantha",60,"cushion",40,35,,,,,,8,,,1,1,,,,,,5,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",61,"cushion",35,20,,,,,,,,,,1,,,,,,,,,,3,,,,,2,,64
"Torres del Paine","Azorella_monantha",62,"cushion",30,25,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,64
"Torres del Paine","Azorella_monantha",63,"cushion",40,45,,,,,,,,,,1,,,,,,2,,,,,,,,,3,,64
"Torres del Paine","Azorella_monantha",64,"cushion",30,30,,,,,,,,,,1,,,,,,4,,,,,,,,,2,,64
"Torres del Paine","Azorella_monantha",65,"cushion",30,30,,,,,,,,,,,,,,,,,,,1,1,,,,,,,64
"Torres del Paine","Azorella_monantha",66,"cushion",30,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",67,"cushion",70,35,,,,,,,,,,,,,,,,4,,,2,,,,,,1,,64
"Torres del Paine","Azorella_monantha",68,"cushion",45,35,3,,1,,1,2,,,1,1,,,1,,,2,,,1,1,,,,,1,,64
"Torres del Paine","Azorella_monantha",69,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",70,"cushion",45,45,,,,,,,,,1,6,,,,,,2,,1,,1,,,,,2,,64
"Torres del Paine","Azorella_monantha",71,"cushion",30,40,,,,,,,,,,3,,,,1,1,2,,,,4,,,,,2,,64
"Torres del Paine","Azorella_monantha",72,"cushion",40,35,,,,,1,,,,1,,,,,,,2,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",73,"cushion",30,20,,,,,,,,,,,,,,,,1,,1,,,,,,,4,,64
"Torres del Paine","Azorella_monantha",74,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",75,"cushion",65,50,2,,,,,,,,,4,,,,,,2,,2,,3,,,,,7,,64
"Torres del Paine","Azorella_monantha",76,"cushion",25,25,,,,,,2,,,,1,,,,,,,,,1,,,,,,1,,64
"Torres del Paine","Azorella_monantha",77,"cushion",20,20,,,,,,,,,,1,,,,,,1,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",78,"cushion",45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",79,"cushion",40,45,1,,,,,,,,,1,,,,,,1,,,,1,,,,,1,,64
"Torres del Paine","Azorella_monantha",80,"cushion",30,30,,,,,,3,,,,,,,,,,1,,,,2,,,1,,2,,64
"Torres del Paine","Azorella_monantha",81,"cushion",45,45,3,,,,,,,,,,,,,,,5,,,,2,,,,,3,,64
"Torres del Paine","Azorella_monantha",82,"cushion",30,35,,,,,,,,,,3,,,,,,,,,3,,,,,,3,,64
"Torres del Paine","Azorella_monantha",83,"cushion",30,30,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,64
"Torres del Paine","Azorella_monantha",84,"cushion",35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",85,"cushion",40,45,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,64
"Torres del Paine","Azorella_monantha",86,"cushion",15,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",87,"cushion",35,35,,,,,,,,,,2,,,,,,,,,,,,,,1,,,64
"Torres del Paine","Azorella_monantha",88,"cushion",40,40,1,,,,,1,,,,8,,,,,,,,6,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",89,"cushion",20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",90,"cushion",35,35,,,,,,,,,,,,,,,,1,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",91,"cushion",30,30,,,,,,,,,,2,,,,,,,,,4,,,,,,,,64
"Torres del Paine","Azorella_monantha",92,"cushion",45,35,,,,,,,,,,1,,,,,,2,,,8,3,,,,,,,64
"Torres del Paine","Azorella_monantha",93,"cushion",35,35,,,,,,1,,,,9,,,,,,,1,,,11,,,,,,,64
"Torres del Paine","Azorella_monantha",94,"cushion",20,25,,,,,,,,,,1,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",95,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",99,"cushion",30,30,,,,,,,,,,1,,,,,,,3,,5,7,,,,,,,64
"Torres del Paine","Azorella_monantha",100,"cushion",45,35,,,,,,,,,,,,,,,,,,,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",101,"cushion",50,35,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,64
"Torres del Paine","Azorella_monantha",102,"cushion",45,40,3,,,,,,,,,1,,,,,,,,6,,,,,,,2,,64
"Torres del Paine","Azorella_monantha",103,"cushion",45,35,,,,,,,,,,,,,,,,,,,,,,,,,1,,64
"Torres del Paine","Azorella_monantha",1,"open",25,25,1,,,,,,,1,,1,,,,,,1,,,1,,,,1,,,,64
"Torres del Paine","Azorella_monantha",2,"open",30,35,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",3,"open",40,40,,,,,,4,3,,,,,,,,,,,,,4,,,,,,,64
