"site","cushion","code","sample","cushion.open","diam1","diam2","area","Rytidiosperma setifolium","Aciphylla big","Aciphylla monroi","Anisotome flexuosa","Anisotome haastii","Blechnum pennamarina","Brachyglottis bellioides","Brachyscome sinclairii","Cardamine bilobata","Celmisia lyallii","Celmisia spectabilis","Chianochloa","Colobanthus aciculatus","Dracophyllum pronum","Dracophyllum uniflorum","Elymus rectisetus","Epilobium pycnostachyium","Gaultheria depressa","Gentiana corymbifera","Geranium sessiliflorum","Helichrysum bellidioides","Hieracium","Koeleria","Leptinella atrata","Leucopogon frazeri","Lobelia roughii","Luzula rufa","Melicytus alpinus","Ourisia caespitosa","Poa colensoi","Racometrum ptycophylla","Rumex acetosella","Schizeilema trifoliatum","Viola cunninghamii","Wahlenbergia albomarginata","moss (green)"
"Mt. Hutt","Raoulia eximia",41,37,"open",158,69,,8,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,40,"open",64,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,41,"open",76,50,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,42,"cushion",57,57,,3,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,5,,,,,19,
"Mt. Hutt","Raoulia eximia",41,42,"open",57,57,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,43,"cushion",35,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
"Mt. Hutt","Raoulia eximia",41,43,"open",35,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,44,"cushion",73,27,,3,1,1,,,,,,,,,2,,,,,,,,,,,1,,,,,,,2,,,,,12,
"Mt. Hutt","Raoulia eximia",41,46,"open",70,61,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,47,"cushion",79,89,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
"Mt. Hutt","Raoulia eximia",41,48,"cushion",136,56,,13,1,,,,,1,17,,,1,3,,,,1,,,,,,,,10,,,,,1,8,,,4,,22,1
"Mt. Hutt","Raoulia eximia",41,48,"open",136,56,,4,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,49,"cushion",80,103,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,2
"Mt. Hutt","Raoulia eximia",41,49,"open",80,103,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,50,"cushion",114,72,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,,,,,12,1
"Mt. Hutt","Raoulia eximia",41,50,"open",114,72,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,51,"cushion",116,87,,7,,,,,,,,,,,3,,,,,,,,,,,,9,,,4,,,23,,,,,,2
"Mt. Hutt","Raoulia eximia",41,51,"open",116,87,,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,52,"cushion",59,47,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,,,,,1
"Mt. Hutt","Raoulia eximia",41,52,"open",59,47,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,53,"cushion",93,48,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,9,,,4,,,
"Mt. Hutt","Raoulia eximia",41,53,"open",93,48,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,54,"cushion",71,73,,2,1,,,,,,1,,,,,1,,,,,,,,,,,,,,4,,,11,,,,,,
"Mt. Hutt","Raoulia eximia",41,54,"open",71,73,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,56,"cushion",37,54,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,56,"open",37,54,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
