site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Laretia_acaulis",68,"cushion","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",69,"cushion","","",,,,,,,,,,,,9,,,,,,,,,2,,,,,,1,,,,,9,,,,2,,,,,,,,,,,,,,1,,,1,1,,,61
"Valle Nevado","Laretia_acaulis",70,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",73,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",74,"cushion","","",,,,,,,,2,,,,18,,,,,,,,2,,,,,,,2,,,,,8,,,,4,,,,3,,,,,,,1,,,,,3,1,2,,,61
"Valle Nevado","Laretia_acaulis",75,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,3,,,,,,,,,,,,,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",76,"cushion","","",,,,,,,,1,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,3,,,,1,,,,,,,1,,,,,,1,1,,,61
"Valle Nevado","Laretia_acaulis",77,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",78,"cushion","","",,,,,,,,,,,,2,,,,,,,,1,,,,,,1,,,,,,7,,,1,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",79,"cushion","","",,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",80,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",81,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",82,"cushion","","",,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,2,2,1,,,61
"Valle Nevado","Laretia_acaulis",85,"cushion","","",,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,1,,2,,,,,4,1,,,,61
"Valle Nevado","Laretia_acaulis",86,"cushion","","",,,,,,1,,,,,,6,,,,,,,,,,1,,,,2,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2,,,,61
"Valle Nevado","Laretia_acaulis",87,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",88,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",89,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,61
"Valle Nevado","Laretia_acaulis",90,"cushion","","",,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",91,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,1,,,,3,,4,,,61
"Valle Nevado","Laretia_acaulis",92,"cushion","","",,,,,,,,,,,,22,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,61
"Valle Nevado","Laretia_acaulis",93,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",94,"cushion","","",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",97,"cushion","","",1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",98,"cushion","","",,,,,,,,,,,,9,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,3,,,61
"Valle Nevado","Laretia_acaulis",99,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",100,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,4,,,61
"Valle Nevado","Laretia_acaulis",1,"open","","",,,,,,,,1,,,,5,,,1,,,,,,,,,,,,,1,,,,3,,,,,,1,,,1,4,2,,,,,,,,,3,1,,,1,61
