"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Discaria nana","Discaria nana",19,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Discaria nana","Discaria nana",19,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
"Bariloche Discaria nana","Discaria nana",19,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,33,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,34,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,35,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Discaria nana","Discaria nana",19,36,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Discaria nana","Discaria nana",19,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Discaria nana","Discaria nana",19,38,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Discaria nana","Discaria nana",19,40,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Discaria nana","Discaria nana",19,41,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Discaria nana","Discaria nana",19,42,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Discaria nana","Discaria nana",19,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,44,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Discaria nana","Discaria nana",19,45,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Discaria nana","Discaria nana",19,46,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,47,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2
"Bariloche Discaria nana","Discaria nana",19,48,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
