Site,site name,cushion spp (Genus_species),Hemisphere,Gams winter,TMAX JUNE,TMIN Jan,P/TSUMMER,June Soil Temp,EVAP SUMMER,NDVI SUMMER,RH SUMMER,SOIL WETNESS SUMMER,siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean
53,"Gemmi","Carex_firma","N",64.6223617595362,21.2477778,-23.485556,21.9229148768542,3.30444440000002,87.5866666666667,0.366470370666667,83.7017037033333,581.323703666667,82,35,0.7287594,0.0643136,2.5529541,-4.716537,148.5071405,139.781987,1.2584146,4.7560976,102.7896024,116.3326143,3.0286585,22.619878
54,"Gemmi","Silene_acaulis","N",64.6109364712767,21.2477778,-23.485556,21.9229148768542,3.30444440000002,87.5866666666667,0.366470370666667,83.7017037033333,581.323703666667,80,53,0.62542982,0.06599648,2.59097041,-1.777773,104.12022801,137.73916409,2.745375,7.00375,86.39686742,93.38974792,11.098625,50.3315
56,"Cabezas de Hierro","Minuartia_recurva","N",68.3825406928657,28.4088889,-10.311111,1.77515553325877,7.89000000000004,71.7722962966667,0.531266666666667,48.0440370366667,334.6111111,101,17,0.30597899,0.05530876,1.9164771,-0.791326,44.7597111,85.88406563,2.82227723,4.96792079,57.85103826,104.82249118,8.94207921,26.53148515
57,"Valle Nevado","Azorella_madreporica","S",61.9331935291438,13.4077778,-21.955556,2.19352220231624,-0.251111,34.8139259266667,0.156892592666667,59.6932962966667,514.033333333333,100,56,-0.436762,0.06640543,3.15382721,0.67281787,-16.243986,43.40160183,5.5372,8.577,29.86912006,48.60896725,18.8682,51.2923
58,"Tres Puntas","Azorella_madreporica","S",62.0375243458722,13.4077778,-21.955556,2.19352220231624,-0.251111,34.8139259266667,0.156892592666667,59.6932962966667,514.033333333333,100,29,0.30181542,0.08461695,4.88293922,-4.930707,61.36799148,84.03407537,2.2215,5.531,89.11605274,94.34250436,4.6911,37.0725
59,"Elqui","Azorella_madreporica","S",69.6192913096424,12.7288889,-19.444444,1.30299744472027,1.8233333,13.2930222226667,0.114144444666667,52.6465925933333,350.785185166667,100,23,0.25910618,0.06861364,1.50077694,-1.615317,63.48576833,93.35877586,2.4044,5.7635,12.03046977,52.78764343,7.6519,16.2949
60,"Elqui","Azorella_madreporica","S",69.4081183946906,11.6166667,-21.465556,2.51532283586957,-2.396667,18.6267037033333,0.117414815,58.7602222233333,346.6948148,100,16,0.70716089,0.05660151,3.97877356,-1.780685,115.96540361,118.2027204,0.7931,3.1712,96.36171167,105.7875863,1.3247,6.611
61,"Valle Nevado","Laretia_acaulis","S",61.9339916771249,13.4077778,-21.955556,2.19352220231624,-0.251111,34.8139259266667,0.156892592666667,59.6932962966667,514.033333333333,100,56,-0.547125,0.0607481,2.9766757,-1.788658,-27.342362,36.7717502,6.1481,9.1659,-33.050374,16.7705782,24.6703,34.9768
62,"White Mountains","Phlox_condensata","N",82.7865506088712,30.3733333,-14.917778,0.479034827417834,10.5077778,18.18127037,0.220662963,27.0900740733333,291.9311111,100,9,0.65020794,0.03832253,4.67784092,2.58826184,69.05896841,91.80578433,0.6944,1.682,62.41710075,93.1262326,0.9124,3.3135
63,"White Mountains","Townsendia_leptotes","N",82.7785438819558,30.3733333,-14.917778,0.479034827417834,10.5077778,18.18127037,0.220662963,27.0900740733333,291.9311111,100,14,0.28962182,0.03318348,3.72429262,-3.37356,54.83482955,87.89839473,1.6907,3.3315,46.4978706,74.17851963,3.0151,8.435
64,"Torres del Paine","Azorella_monantha","S",44.0415649476128,18.1444444,-5.744444,18.7529589857358,6.12,81.09225926,0.456714814666667,85.7807777766667,674.067777766667,103,24,0.41187604,0.06084102,4.2844345,1.07028215,67.35062747,100.72260957,1.39640777,4.29349515,58.41376759,72.11171497,3.32407767,11.93660194
65,"Two Medicine Glacier","Sibbaldia_sp","N",80.9767017536063,26.0833333,-25.966667,4.72156549796859,0.312222200000008,84.9572592766667,0.426070370666667,56.39659259,332.345925933333,104,47,0.63750671,0.05220426,2.76108738,-0.835329,107.19310427,125.12926899,1.24096154,4.75375,92.41938769,96.01720893,2.3375,18.94836538
67,"Cathedral Lake 1","Silene_acaulis","N",63.0111780947052,23.9788889,-27.175556,4.31022236609008,0.568888900000047,94.7378518633333,0.535796296666667,62.7237777766667,486.485925933333,80,17,0.47736186,0.05155529,5.50012268,-9.06126,107.78014315,131.81210794,1.499875,4.863,96.64455865,126.38285667,6.04675,28.08825
68,"Cathedral Lake 2_Silene","Silene_acaulis","N",63.0548469577517,23.9788889,-27.175556,4.31022236609008,0.568888900000047,94.7378518633333,0.535796296666667,62.7237777766667,486.485925933333,47,16,0.61583157,0.07503421,3.16538848,0.38725519,72.41213565,79.91733018,1.00680851,3.41659574,57.53370016,63.80021931,5.78382979,29.40468085
69,"Red Mountain","Silene_acaulis","N",74.4478294063195,19.3044444,-29.252222,5.8589083320888,-0.761111,70.87025926,0.596277777666667,72.50685185,547.825555533333,73,24,0.18609075,0.08386242,5.54000329,-6.05834,17.41790484,73.17162069,2.8130137,4.90452055,45.96605308,67.74132817,9.51780822,27.65767123
71,"Pink Mountains 2","Silene_acaulis","N",79.2686069715052,23.0233333,-34.383333,8.34890334588521,-1.104444,93.18781482,0.676229629666667,69.20025926,536.817777766667,70,13,0.4723929,0.05919114,3.24600033,1.07467934,50.04396347,67.96019406,0.78414286,1.98928571,38.04743625,62.67845625,3.34428571,10.22628571
72,"Pink Mountains 3","Silene_acaulis","N",79.26528230523,23.0233333,-34.383333,8.34890334588521,-1.104444,93.18781482,0.676229629666667,69.20025926,536.817777766667,81,17,0.15687113,0.07157578,1.56119209,-0.058774,48.853405,78.97989149,1.51012346,3.30975309,39.59006053,68.44458852,7.7891358,21.23666667
73,"Benasque 1","Saponaria_cespitosa","N",63.491006350867,23.2955556,-17.71,9.13239906084506,3.1911111,112.002814826667,0.398892592666667,70.9154444433333,488.151481466667,93,36,0.23396009,0.06497257,5.54000329,-5.120653,55.24018206,95.97088875,4.22795699,7.20129032,80.19903576,110.53704551,18.50763441,60.10236559
74,"Benasque 2","Silene_acaulis","N",63.491006350867,23.2955556,-17.71,9.13239906084506,3.1911111,112.002814826667,0.398892592666667,70.9154444433333,488.151481466667,85,40,0.14110176,0.06514926,2.14038266,-0.97413,17.59286097,50.58264392,4.42376471,6.58494118,33.99075752,70.90348772,22.41341176,54.35223529
75,"Whistler North","Silene_acaulis","N",42.00394575166,23.4766667,-20.886667,7.04671506751983,1.43666670000005,87.11466667,0.707107407666667,76.33851852,522.671111133333,100,29,0.06444988,0.05221986,0.21894834,0.67807437,31.53004468,79.77772655,3.2073,5.2929,29.95151329,55.46157418,8.0326,22.6423
76,"Whistler South","Silene_acaulis","N",42.00394575166,23.4766667,-20.886667,7.04671506751983,1.43666670000005,87.11466667,0.707107407666667,76.33851852,522.671111133333,246,25,0.49695153,0.03387541,0.21894834,-0.406111,33.56840927,62.57106063,3.46730496,4.63368794,54.44175543,70.46323272,9.55751773,20.65638298
77,"Sierra Nevada 1","Arenaria_tetraquetra_amabilis","N",53.4481652675772,25.7655556,-10.23,0.734638464777906,9.04777780000001,57.11188889,0.293218518666667,46.18514815,392.348888866667,100,24,0.02543098,0.07714895,2.70560038,4.39399162,39.30738145,101.07187254,2.8756,4.6634,-8.033802,91.00726005,10.9085,21.3714
78,"Sierra Nevada 2","Arenaria_tetraquetra_amabilis","N",61.4253747802037,27.7566667,-2.762222,0.265274633345806,14.8844444,35.1423333333333,0.457488889,53.11362963,402.3911111,100,18,0.33500355,0.06030179,1.34958213,-1.60557,64.92403694,82.42188774,1.7495,3.1161,80.92748406,114.87720714,5.925,22.4226
79,"Sierra Nevada 3","Arenaria_tetraquetra_amabilis","N",53.6834123867519,25.7655556,-10.23,0.734638464777906,9.04777780000001,57.11188889,0.213233333333333,46.18514815,392.348888866667,85,27,-0.025037,0.06778396,3.39076413,1.43295488,9.77797824,78.42189661,4.08576471,6.29541176,8.43899526,76.53876376,11.98764706,25.68482353
80,"Sierra Nevada 4","Arenaria_tetraquetra_amabilis","N",54.211121296162,25.7655556,-10.23,0.734638464777906,9.04777780000001,57.11188889,0.213233333333333,46.18514815,392.348888866667,100,13,0.32989009,0.05093064,0.50230935,-1.750629,50.0504355,79.77360187,0.6532,1.7865,57.67650997,59.902952,1.4989,9.1092
