Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Erigeron frigidus,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Plantago holosteum,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",48,"open",16,10,,,,,,,,1,1,,,,,,2,3,,,1,5,,11,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",49,"cushion",19,17,,,,,,,2,,,1,,5,,,,,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",49,"open",19,17,,,,,,,1,,1,,,1,,,,,,,1,2,,3,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",50,"cushion",16,11,,,,,,,1,,,,,5,,,,1,,,1,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",50,"open",16,11,,,,,,,1,,,,,1,,,,1,,,,6,,16,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",51,"cushion",13,10,,,,,,,,,,,,2,1,,,,1,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",51,"open",13,10,,,,,,,,,,,,4,3,,,,2,,,6,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",52,"cushion",24,24,,,,,,,,,1,,,8,1,,,24,,,1,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",52,"open",24,24,,,,,,,,1,,,,3,,,,2,,,2,5,,7,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",53,"cushion",10,9,,,,,,,,,4,,4,4,,,,,,,3,,,,,,,,
