Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Arenaria tetraquetra ssp amabilis,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Draba hispanica ssp laderoi,Erigeron frigidus,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
81,"Sierra Nevada3","Plantago_holosteum",68,"cushion",15,13,,,,,,,,,,,,,,,,,,,,4,,4,,,,,
81,"Sierra Nevada3","Plantago_holosteum",69,"cushion",21,20,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",70,"cushion",15,11,,,,,,,,,,,,,,,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",71,"cushion",19,10,,,,,,,,,,,,,,,,,,,,3,,3,,,,,
81,"Sierra Nevada3","Plantago_holosteum",72,"cushion",16,16,,,,,,,,,,,1,,,,,,,,,2,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",73,"cushion",14,14,,,,,,,,,,,,,,,,,,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",74,"cushion",14,12,,1,,,,,,1,,1,1,,,,,,7,,,1,,6,,,,,
81,"Sierra Nevada3","Plantago_holosteum",75,"cushion",11,11,,,,,,,,,,,,,,,,,,,,1,,4,,,,,
81,"Sierra Nevada3","Plantago_holosteum",76,"cushion",22,16,,,,,1,,,,,,,,2,,,,12,1,,,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",77,"cushion",15,17,,1,,,,,,,,,,,3,,,,,,,2,,,,,,1,
81,"Sierra Nevada3","Plantago_holosteum",78,"cushion",22,12,,,,,,,,,,2,,,4,,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",79,"cushion",17,18,,,,,,,,,,,,,3,,,,,1,,1,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",80,"cushion",27,25,,,,,,,,,,,,,6,,,,5,,,,,,,,,2,
81,"Sierra Nevada3","Plantago_holosteum",81,"cushion",19,22,,,,,,,,,,,,,3,,,,,,,4,,4,,,,1,
81,"Sierra Nevada3","Plantago_holosteum",82,"cushion",15,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",83,"cushion",18,12,,2,,,,,,,,,1,2,,,,,,,,,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",84,"cushion",25,20,,1,,,,,,1,,8,,3,2,1,,,,3,,,,1,1,,,,
81,"Sierra Nevada3","Plantago_holosteum",85,"cushion",15,14,,,,,,,,,,,1,,1,,,,,,,2,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",1,"open",20,16,,,,,,,,,,,,,3,1,,,,2,,3,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",2,"open",15,10,,1,,,,,,,,,2,,,,,,,1,,2,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",3,"open",10,10,,,,,,,,,,,1,,,,,,,,,8,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",4,"open",14,15,,1,,,,,,,5,,2,,,,,,,,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",5,"open",17,13,,1,,,,,,,,,,,2,,,,,,,9,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",6,"open",16,13,,,,,,,,,,1,1,,1,,,,,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",7,"open",14,11,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",8,"open",18,11,1,,,,,,,,,,1,,1,,,,,2,,6,,6,,,,,
81,"Sierra Nevada3","Plantago_holosteum",9,"open",14,13,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",10,"open",18,18,,,,,,,,1,,,2,,,,,,,,,9,,,1,,,,
81,"Sierra Nevada3","Plantago_holosteum",11,"open",19,16,1,,,,,,,,,1,1,,3,,,,,,,3,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",12,"open",16,11,,,,,,,,2,,,1,,,,,,,,,2,,1,,,,1,
81,"Sierra Nevada3","Plantago_holosteum",13,"open",18,17,,,,,,,,,,,,,2,,,,2,,,2,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",14,"open",17,12,,,,,,,,3,,,2,1,2,,,,5,,,13,,11,,,,,
81,"Sierra Nevada3","Plantago_holosteum",15,"open",22,16,,,,,,,,1,,,3,,,,,,,1,,3,,8,,,,,
81,"Sierra Nevada3","Plantago_holosteum",16,"open",16,18,,,,,,,,,,,1,,2,,,,,,,4,,3,1,,,,1
81,"Sierra Nevada3","Plantago_holosteum",17,"open",15,16,,,,,,,,,,,,,,,,,,1,,5,,3,,,,,
81,"Sierra Nevada3","Plantago_holosteum",18,"open",13,14,,,,,,,,,,,,1,1,,,,,,,,,3,1,,,2,
81,"Sierra Nevada3","Plantago_holosteum",19,"open",13,13,,,,,,,,,,,1,1,2,,,,,1,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",20,"open",13,10,1,,,,,,,,,,,,,,,,,,,1,,10,,1,,,
81,"Sierra Nevada3","Plantago_holosteum",21,"open",15,15,1,,,,,,,,,1,,,1,,,,3,,,1,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",22,"open",12,9,,,,,,,,,,,,,,,,,,,,3,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",23,"open",18,18,1,,,,,,,1,,,1,,2,,,,,,,6,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",24,"open",11,10,,,,,,,,,,,,,1,,,,,,,6,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",25,"open",18,11,1,,,,,,,,,,2,,,,,,,,,5,,2,1,,,,
81,"Sierra Nevada3","Plantago_holosteum",26,"open",13,13,,,,,1,,,,,,,,3,,,,,,,6,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",27,"open",20,16,,,,,,,,,,,1,,3,,,,,,,8,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",28,"open",18,16,,1,,,,,,1,1,,1,1,,,,,,,,5,,12,,,,,
81,"Sierra Nevada3","Plantago_holosteum",29,"open",17,10,,1,,,,,,2,,,,,1,,,,,,,2,,10,,,,,
81,"Sierra Nevada3","Plantago_holosteum",30,"open",13,10,,,,,,,,,,,,,,,,,,,,3,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",31,"open",9,10,,,,,,,,,,,,,1,,,,2,,,,,7,,,,,
81,"Sierra Nevada3","Plantago_holosteum",32,"open",27,16,,1,,,1,,,,,,1,,,,,,,,,7,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",33,"open",15,13,,,,,,,,,,,1,,2,,,1,1,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",34,"open",22,17,,,,,,,,,,,,,1,,,,,1,,9,,9,,,,,
81,"Sierra Nevada3","Plantago_holosteum",35,"open",14,10,1,3,,,1,,,,,,,,1,,,,,,,4,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",36,"open",22,19,,,,,,,,,,,1,,1,2,,,,,,5,,4,,,,,
81,"Sierra Nevada3","Plantago_holosteum",37,"open",10,10,,,,,,,,,,,,,,,,,3,,,2,,4,,,,,
81,"Sierra Nevada3","Plantago_holosteum",38,"open",20,13,,,,,,,,,,,,,5,,,,,,,4,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",39,"open",12,12,,,,,,,,,,,,,,,,,,,,8,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",40,"open",12,12,1,,,,,,,,,,,,2,1,,,,,,,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",41,"open",21,12,,,,,,,,,,1,1,,,,,,7,,,7,,6,,1,,,
