site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium alpicola,Agoseris aurantiaca,Anemone occidentalia,Anenome drummondii,Antennaria alpina,Arabis nuttalii,Artemisia michauxiana,Astragalus alpinus,Bupleurum americanum,Carex geyeri,Cerastium arvense,Cirsium scariosum,Claytonia megarhiza,Cryptantha celosiodes,Danthonia intermedia,Epilobium angustifolium,Erigeron compositus,Eriogonum flavum,Eriophylum lantanum,Geum triflorum,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Oxyria digyna,Pedicularis bracteosa,Pedicularis parryi,Penstemon fruticosa,Phacelia lyallii,Phacelia sericea,Plantago eriopoda,Poa alpina,Polygonum viviparum,Potentilla diversifolia,Saxifraga occidentalis,Sedum lanceolatum,Sedum roseum,Senecio canus,Silene douglasii,Tiarella trifoliata,Tofieldia accidentalis,UNKNOWN1,UNKNOWN2,UNKNOWN3,UNKNOWN4,UNKNOWN5,UNKNOWN6,dataset code
"Two Medicine Glacier","Sibbaldia",13,"open",43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",15,"open",48,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",17,"open",58,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",19,"open",64,41,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",21,"open",71,40,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",23,"open",34,33,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",25,"open",40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",33,"open",44,40,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",35,"open",53,34,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",37,"open",46,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",39,"open",56,36,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",41,"open",42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",43,"open",32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",45,"open",54,44,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",53,"open",38,26,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",55,"open",66,72,,,,,,,,,,,,,,,5,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",57,"open",22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",59,"open",58,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",61,"open",60,48,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",63,"open",34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
