Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Biscutella glacialis,Chaenorhinum glareosum,Erigeron frigidus,Eryngium glaciale,Euphrasia willkommii,Festuca clementei,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Nevadensia purpurea,Trisetum glaciale
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",73,"open",13,10,,3,,,,,1,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",74,"cushion",18,12,,,,,,,20,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",74,"open",18,12,,,,,,,9,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",75,"cushion",20,15,,,,,,,11,,,6,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",75,"open",20,15,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",76,"cushion",18,13,,,,,,,16,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",76,"open",18,13,,,,,,,6,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",77,"cushion",15,10,,,,,,,12,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",77,"open",15,10,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",78,"cushion",16,7,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",78,"open",16,7,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",79,"cushion",15,10,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",79,"open",15,10,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",80,"cushion",17,16,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",80,"open",17,16,,,,,,1,4,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",81,"cushion",20,14,,1,,,,,,,,6,,,
