"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Calandrinia affinis","Cerastium arvense","Chaetanthera euphrasioides","Chaetanthera lycopodioides","Erigeron andicola","Galium gilliesii","Hordeum comosum","Junellia uniflora","Montiopsis potentilloides","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Olsynium scirpoideum","Oxalis compacta","Perezia carthamoides","Phacelia secunda","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Viola atropurpurea","Viola philippii"
"Franciscano","Azorella madreporica",11,100,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,1,"open",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,2,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Franciscano","Azorella madreporica",11,3,"open",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,5,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,6,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Franciscano","Azorella madreporica",11,8,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Franciscano","Azorella madreporica",11,9,"open",,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,16,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,18,"open",,,,,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"Franciscano","Azorella madreporica",11,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,21,"open",,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Franciscano","Azorella madreporica",11,22,"open",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,23,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,25,"open",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Franciscano","Azorella madreporica",11,26,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,27,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,28,"open",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,34,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
"Franciscano","Azorella madreporica",11,36,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,38,"open",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,40,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,41,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,42,"open",,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,43,"open",,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
"Franciscano","Azorella madreporica",11,44,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,45,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,46,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Franciscano","Azorella madreporica",11,47,"open",,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,53,"open",,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Franciscano","Azorella madreporica",11,54,"open",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,55,"open",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,56,"open",,,,,,,1,3,,,,,,,,,,,,,5,,,,,,,,,,
"Franciscano","Azorella madreporica",11,57,"open",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,58,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,59,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,60,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,61,"open",,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Franciscano","Azorella madreporica",11,62,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,63,"open",,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,64,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,65,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,66,"open",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,72,"open",,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
"Franciscano","Azorella madreporica",11,73,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,74,"open",,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,1,
"Franciscano","Azorella madreporica",11,75,"open",,,,,,25,,,,,,,,1,,,,,,,,,24,,,,,,,,
"Franciscano","Azorella madreporica",11,76,"open",,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,3,
"Franciscano","Azorella madreporica",11,77,"open",,,,,,5,,,,,,,,,,,2,,,,,,,1,,,,,,4,
"Franciscano","Azorella madreporica",11,78,"open",,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,2,,
"Franciscano","Azorella madreporica",11,79,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,80,"open",,,,5,1,15,,,,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,81,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,82,"open",,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,83,"open",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,84,"open",,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,1,
"Franciscano","Azorella madreporica",11,85,"open",,,,9,,21,,,,,,,,,,,,,,,,,,,,,,,4,,
